Measurements/Samples, Spot 155017, Spot 155019, Spot 155020, Spot 155021, Spot 155022, Spot 155023, Spot 155068, Spot 155071, Spot 155072, Spot 155076, Spot 155077, Spot 155078, Spot 155079, Spot 155080, Spot 155081, Spot 155082, Spot 155083, Spot 155084, Spot 155085, Spot 155086, Spot 155130, Spot 155131, Spot 155132, Spot 155133, Spot 155134, Spot 155135, Spot 155136, Spot 155148, Spot 155149, Spot 155150, Spot 155151, Spot 155152, Spot 155155, Spot 155156, Spot 155194, Spot 155195, Spot 155196, Spot 155197, Spot 155198, Spot 155199, Spot 155200, Spot 155201, Spot 155221, Spot 155222, Spot 155223, Spot 155224, Spot 155225, Spot 155263, Spot 155264, Spot 155265, Spot 155266, Spot 155267, Spot 155293, Spot 155294, Spot 155295, Spot 155296, Spot 155334, Spot 155335, Spot 155336, Spot 155368, Spot 155369, Spot 155370, Spot 155371, Spot 155372, Spot 155373, Spot 155408, Spot 155409, Spot 155410, Spot 155411, Spot 155413, Spot 155447, Spot 155448, Spot 155449, Spot 155450, Spot 155485, Spot 155486, Spot 155487, Spot 155488, Spot 155527, Spot 155528, Spot 155529, Spot 155530, Spot 155531, Spot 155567, Spot 155568, Spot 155569, Spot 155612, Spot 155613, Spot 155614, Spot 155615, Spot 155651, Spot 155652, Spot 155653, Spot 155654, Spot 155700, Spot 155701, Spot 155702, Spot 155703, Spot 155704, Spot 155739, Spot 155740, Spot 155741, Spot 155791, Spot 155792, Spot 155793, Spot 155794, Spot 155829, Spot 155830, Spot 155831, Spot 155884, Spot 155885, Spot 155886, Spot 155921, Spot 155922, Spot 155923, Spot 155979, Spot 155980, Spot 156014, Spot 156015, Spot 156074, Spot 156109, Spot 156110, Spot 156111, Spot 156205, Spot 156206, Spot 156207, Spot 156304, Spot 156305, Spot 156404, Spot 156405, Spot 156471, Spot 156506, Spot 156507, Spot 156508, Spot 156609, Spot 156610, Spot 156611, Spot 156713, Spot 156714, Spot 156715, Spot 156819, Spot 156820, Spot 156821, Spot 156927, Spot 156928, Spot 156929, Spot 157038, Spot 157039, Spot 157040, Spot 157149, Spot 157150, Spot 157151, Spot 157152, Spot 157260, Spot 157261, Spot 157262, Spot 157263, Spot 157264, Spot 157374, Spot 157375, Spot 157376, Spot 157487, Spot 157488, Spot 157489, Spot 157490, Spot 157491, Spot 157601, Spot 157602, Spot 157603, Spot 157604, Spot 157717, Spot 157718, Spot 157719, Spot 157720, Spot 157834, Spot 157835, Spot 157836, Spot 157949, Spot 157950, Spot 157951, Spot 157952, Spot 158066, Spot 158067, Spot 158068, Spot 158069, Spot 158070, Spot 158071, Spot 158185, Spot 158186, Spot 158187, Spot 158188, Spot 158304, Spot 158305, Spot 158306, Spot 158307, Spot 158424, Spot 158425, Spot 158426, Spot 158546, Spot 158547, Spot 158548, Spot 158578
AA_0,96663.88366,88139.87877,157099.3373,115416.3252,127019.7589,72267.57414,86033.37449,145233.1858,111235.8071,103697.0021,147310.6526,157827.6867,109833.4737,108886.7606,95099.89346,117513.5388,7823.511453,88938.74925,86625.88895,5738.023662,124038.2604,113657.6982,83327.90371,85566.5574,89880.26379,132524.2806,73617.74401,97266.36046,77012.22445,85357.92533,58750.72035,56333.6319,99487.79783,74880.07516,90355.45918,114381.0054,93174.83338,123741.317,120265.1651,121335.2714,87250.3098,96175.88217,102239.8266,64458.66175,122601.4523,119236.4719,120802.8049,95949.22584,105877.9577,70812.4447,64793.89688,77363.11471,84647.74656,154677.8958,103165.5029,91682.95228,158147.0514,92850.68702,82270.87002,115290.9317,104684.1921,72733.33164,78579.99304,107267.732,62613.98288,66939.3964,102201.0758,112305.9808,99322.59643,66598.01184,108221.822,174356.7499,150106.9929,157864.6008,15355.33748,110670.2218,82756.10584,68819.46427,104991.1776,185535.0865,79102.38141,87260.82585,75546.81546,17119.59605,87274.93909,94432.94542,104909.4136,55536.97253,73399.48088,103416.8998,90510.74776,128856.7712,117424.6112,107202.9091,75146.87469,88409.15337,73885.28161,62066.01856,60357.60819,100091.2674,97892.14539,67929.26107,61721.76676,99655.71787,65841.64288,67811.48749,74139.50073,133424.591,73511.9564,88193.72249,71420.4696,85994.81602,6343.377333,34645.16417,87304.9101,54042.31243,103816.4431,98190.37984,25438.41338,71580.57225,74140.73825,101694.4216,75903.71396,80780.87386,115349.8204,81299.0924,65066.43927,110199.2823,132454.2482,81215.29982,99377.58327,51389.36646,61366.72718,80807.59272,61264.82576,66161.3749,62278.06511,25286.30733,101872.4579,76555.13189,48712.49282,31960.10936,39645.159,85980.51748,65873.10784,67857.86654,137989.7406,92248.54827,120952.3849,50862.7623,99133.44766,84129.14378,93028.86951,63006.63837,80869.1202,92790.14428,79959.06306,81861.37973,82202.23075,106502.251,90083.64698,72685.63736,61300.19191,92035.46345,73582.09264,88895.74498,65011.25347,76359.99543,54439.30921,74058.56344,45371.29697,61482.54322,60147.38243,51410.07317,61011.04989,80067.94595,68256.23845,67988.2715,49743.49642,119817.0086,113712.0703,51432.05559,57909.73574,58786.07566,57150.47998,86670.41529,92881.39958,34787.88944,102796.6741,82223.15038,145905.9756,64164.97547,52291.70513,96168.50211,102902.2809,60612.49672,157418.0777,111808.1661,68806.73605,82433.79252,47578.42853,68429.45407
AA_1,16034.27611,19668.87923,43586.96657,32933.2801,30820.50458,19860.13398,21091.70908,16252.11562,48780.69338,18853.45503,38325.5218,35824.15572,19570.81882,13389.04634,30776.72755,22312.47025,1259.334117,27256.20899,17144.72753,1253.579999,27134.16888,32559.40517,28618.79373,15304.65431,25650.94753,24420.17242,17403.73241,18295.63671,20505.64113,17439.42677,13317.46549,11314.94827,11566.7516,16961.56597,26697.889,19342.38854,17390.06668,26449.70989,18494.71544,30145.25464,24244.81508,16303.38908,19501.40293,17880.40431,29463.79008,12970.30793,19661.42961,34942.16855,30811.39026,16296.44829,14834.5065,15381.25025,22829.03412,38780.9991,21242.57918,26037.30774,33294.96063,20335.12819,20474.28066,24185.2422,26144.18266,13970.78711,16716.22728,20392.4599,13449.09242,15480.6287,26741.63981,28701.30284,21929.1368,13063.77219,31639.6693,56634.67756,39800.8081,42493.47644,4769.078211,26310.70829,19412.55351,11968.79265,20049.76996,46298.88774,17755.47438,27397.23955,17210.22256,3786.827359,18018.21911,32354.45307,23795.47522,12848.16219,15051.15417,18002.79942,17411.87129,29988.10251,29630.99535,31261.44061,22845.13426,27671.00244,20083.95842,13330.44117,13459.38162,24023.3327,22239.12858,16058.56715,24898.56044,28663.25615,22185.73253,18475.47111,30714.42488,32720.76944,17869.49183,22103.06855,14317.13258,19279.04049,1314.132734,7642.396295,22002.94777,12552.88716,16583.85885,11268.15087,4349.698171,15395.95873,16688.26763,18982.40992,16043.93518,19673.12083,17931.92292,25457.98337,14285.93878,18918.04155,23837.30856,21536.34761,10692.45892,16019.18157,16539.53096,23927.73205,11096.59643,9055.889933,13397.14471,6140.968674,20361.9634,15461.04825,5299.318295,8110.417447,9109.493712,13381.71702,11943.81275,17401.16412,28755.62849,22668.65343,31832.49859,12250.57011,21914.06455,18256.4098,16320.74033,17407.97766,19476.71176,24409.54696,22766.3787,39055.75179,24390.10283,27421.61039,20867.7083,19731.45939,11559.5734,18475.1709,17401.53643,27649.48226,17006.58107,18054.04304,17189.0423,21725.87358,10456.26343,17643.03846,16230.15809,10009.57624,21738.75269,20052.18561,20442.22207,11107.96568,12844.43888,20447.54214,23601.39979,12221.27639,16391.03289,12869.62043,9507.063849,23395.73136,18881.94257,9463.418862,29151.61547,19716.02426,29393.86062,13868.49965,14772.85327,27119.68151,20300.04341,12380.85387,19335.69653,20583.63546,13411.87259,16949.02398,8760.315767,10634.47939
DHA_0,146394.0748,129807.2497,235596.3327,219314.4211,213551.0086,116172.8943,183068.0065,261413.0884,187712.7265,132640.5266,138415.5124,179793.9301,159629.4875,118042.603,153407.7592,129362.1769,10868.58698,121339.3039,142572.0577,7695.022848,224105.2851,157474.4505,114870.9602,116911.1973,148970.073,168405.7954,81756.35983,127006.8181,134969.7122,94771.35515,65931.82336,66307.89744,122676.1974,143737.8745,227898.1045,170039.2795,110976.7759,154792.2885,120649.3839,167862.8169,156533.7487,140922.497,126514.8215,62062.25649,186238.1692,153917.7432,172375.1683,141300.6962,154858.3818,79640.49096,110495.7489,160362.0197,104089.3437,210257.3729,143985.9413,121530.1394,194848.618,125653.4443,103557.3558,135077.6408,103549.0224,92368.284,97966.72726,164166.5891,108775.2155,121014.6129,141668.6153,115358.836,139795.0823,117987.1424,131299.9812,241619.7369,168811.2752,196549.8002,25033.66476,236752.3832,111289.595,103702.4352,133593.514,218868.842,86441.25628,129760.1721,125221.4154,24341.42609,108556.7927,169366.9408,124109.4936,74522.28886,120633.6662,154854.0854,161490.6479,153254.1634,159834.7293,135722.9416,128508.7875,113967.1082,98349.19295,112138.4357,93281.86244,202921.5487,119608.4813,101988.2859,79679.71063,156916.2421,102303.3345,121635.3247,110532.1033,182142.8505,105789.0955,124873.4911,94226.96641,125783.5922,9528.86299,47318.69083,147545.4879,69359.13075,174947.7254,164842.9074,41584.14445,99487.03094,125016.6475,123964.5341,147132.0965,108989.698,140822.0476,115021.6433,117091.9869,165526.7742,171291.5194,163451.6531,138463.1847,93439.91248,84815.5346,104086.6938,85354.82845,98960.24899,110814.8954,40316.50282,142242.2547,91323.09506,77996.34776,62484.91953,68925.97408,123058.792,108101.1715,135525.5292,195340.8824,174443.8937,172755.4043,78924.45606,144906.9948,112396.6409,131673.8787,94550.15861,137767.1934,135250.077,108756.5243,166780.0026,161988.3357,164588.0151,139245.5606,143951.0055,101184.2072,130835.498,124454.3754,103809.0317,113386.1597,105066.8512,78847.22027,101039.5579,95444.25201,90636.68555,92696.76708,77415.56486,100972.7827,108657.9918,85908.04487,101618.3941,99383.08077,210739.6077,159399.9902,117757.8936,85028.83012,92085.35502,87718.57449,114915.1626,194396.7235,117388.7246,156856.8319,105028.012,159657.4453,88889.7645,78828.75907,115901.3059,140594.779,109219.4025,242866.5001,160094.4248,124809.3336,112393.8586,94996.41314,94138.2986
DHA_1,35103.04481,38239.5205,42181.47096,62588.2441,39848.91584,33190.01819,39081.04245,43784.40834,45265.04639,38177.11408,35872.40685,30196.42323,39695.62393,30899.43294,38516.40671,26766.61177,2557.011309,24111.77108,43267.83799,1326.736182,49712.3155,28997.22647,17930.43859,20621.34291,30803.95207,23344.10219,18032.52646,40056.83353,22227.28174,22070.88868,16334.21297,16670.38714,22289.01799,28348.03629,55242.3989,44632.06453,25020.55783,36817.38978,25933.39813,36761.28986,23239.66031,31683.77791,22583.27999,16160.13404,40589.34309,46485.67535,43803.32119,34273.59461,29976.13104,23668.55606,23263.81268,34750.46486,23092.92412,47761.66245,29887.81185,27157.25746,41644.20676,39656.47815,21443.99772,31164.45709,21042.32739,19959.42197,18921.59342,55952.11342,27949.19435,29665.49257,30458.07917,24241.974,37665.24916,21007.21945,39539.11609,50521.26948,49751.51888,42355.67827,6795.332421,50988.02956,19932.71468,12193.83797,26901.91026,48796.84525,23456.85517,25127.4175,34005.05822,5418.787752,19222.12927,28910.31925,25228.41172,15663.24077,31924.59308,42563.57079,33799.431,36557.58242,27901.19132,25617.18695,36866.46822,30189.08902,21717.36371,30274.85099,26193.45282,59387.8007,29831.27454,26244.29892,20039.03281,43727.75632,17441.0875,28472.41607,29908.66177,39068.6074,14158.86873,18013.49321,17468.11096,36922.68675,2054.032348,12846.1813,29291.75556,20170.21781,50215.63384,29661.45711,8194.365259,21592.64873,31585.62284,30559.86761,30102.21104,29107.75092,40192.48971,31413.2032,30578.53597,33663.53817,44363.26196,34524.05322,41288.04726,15240.93128,20510.77162,26918.65789,28284.85301,29331.41119,8703.480314,9181.839523,30647.07747,29521.75625,15934.90096,16761.87962,14578.91948,26298.15945,26581.79822,29720.46033,64470.48809,28099.71623,51140.45099,17922.36407,28980.80831,29875.9402,29264.18184,23240.24938,28727.4128,34579.83302,26814.22686,39384.58067,40212.58241,46265.63889,30157.31885,32774.94344,22910.3363,38185.05983,21533.89707,17115.07862,25728.43044,22776.70328,18678.35417,25200.19738,18188.69736,23980.08385,18549.78008,12860.06347,23943.32411,13984.52769,23896.67645,22021.82189,18446.33796,41825.30739,31404.63864,21550.43881,23622.31069,30382.86156,14581.15104,29654.12042,42356.85818,28179.70874,37055.95095,27179.38946,34669.53535,21201.90117,18795.1438,29460.36412,29405.0054,24417.87156,62293.49044,41373.7547,30251.26999,26273.09491,17756.49631,20111.07317
LPS203_0,49376.97811,39795.18133,47927.78981,79632.31158,54265.2842,28617.80297,46940.3289,36403.98541,79909.94812,21479.8418,52504.55009,0,0,0,27446.33764,0,1707.535765,31739.41483,61210.96629,1032.018876,36741.75972,40340.33258,18661.11795,25082.03041,22960.43154,39459.2586,14599.27042,34091.01309,30254.16349,19524.42227,18715.58785,10539.6923,47001.86921,30817.68679,97253.30628,46178.46201,18870.58355,0,31880.71826,37378.0123,66437.0634,61725.01831,17918.61746,12397.88231,0,40947.79616,38146.12228,39385.07854,44808.02158,21475.16099,20122.051,55259.98567,23796.80017,0,27151.64907,52504.13641,50563.91429,26233.72219,14359.22926,47645.60692,32198.42987,24127.16179,13151.92609,44785.99764,30684.26595,35139.57101,36114.93948,29025.7072,41178.91259,37616.81248,47760.64141,45078.34215,48341.03051,51648.08518,10133.49796,53126.61327,20834.84286,0,51097.45143,73783.81462,18327.48909,32416.50188,30310.76726,4309.740599,18135.73212,33393.07381,30464.05302,14646.25315,39687.362,29941.36266,39892.74033,52947.38154,0,57180.58913,49189.02663,35728.81549,28298.54232,33419.48099,34143.6462,34792.51718,22430.91346,28606.99794,24963.92066,29118.0238,22657.85617,31160.74159,34741.30556,33379.71439,34719.77021,18148.84265,18658.57186,0,2173.073778,11695.84172,42418.66805,12542.44394,0,21261.04989,13439.90756,27669.24509,72740.91622,21294.10859,53367.74792,28823.97317,54366.96401,45517.28714,42623.69406,50664.59165,0,53910.25753,47368.94562,20169.33527,26082.87552,40379.35786,52262.90648,22612.88266,0,17006.81381,60392.61594,21688.28881,36453.80163,12090.4083,21932.50844,25198.11079,32663.66308,50595.24748,108284.9138,32750.97535,38194.18347,25271.82216,32591.83511,45999.02306,33000.11273,55468.12463,44337.01462,51207.27376,37820.09038,58272.4926,37927.11518,47344.74084,49330.70726,45751.2681,45800.69651,38840.07189,37395.1839,51900.30073,28438.14723,29045.47405,24682.09933,14677.66315,36032.48317,34054.09111,24654.2985,23751.99525,34591.72987,34596.70011,22580.06645,20264.2045,25642.75701,49961.89171,52084.34607,52134.93587,35526.66874,17673.28627,20761.44839,26799.76145,45025.828,40054.25427,57781.23829,22962.66952,38929.12321,48670.78505,31033.2176,20534.51979,49958.31832,50419.82713,81692.43282,51322.76134,29195.3116,19624.09459,39258.2964,35838.36481
LPS203_1,18165.62798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17852.85991,14491.53504,9577.61784,0,0,0,0,20590.98176,14870.986,8252.586488,11591.17922,0,28155.04428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18050.05284,0,0,18912.36587,21102.7998,20680.59478,0,10194.89782,0,0,0,0,0,0,0,0,0,22061.03655,0,0,0,0,0,4218.28805,0,0,0,34298.24881,0,0,0,0,0,0,0,0,12191.12489,0,0,0,0,0,18591.39895,0,0,0,0,0,0,0,0,0,0,0,0,15142.34542,0,0,17579.15119,0,0,0,8045.444173,0,0,0,0,0,0,0,0,20576.61815,0,0,0,0,0,0,0,0,0,9469.974795,0,0,0,0,8740.522767,0,0,0,9998.29285,0,0,0,0,0,0,0,8742.625808,18867.30632,0,0,37243.66699,17307.644,0,0,0,0,0,0,23643.61032,0,0,0,15648.78649,8135.706801,0,0,0,9246.980015,12638.8057,12049.81698,10074.43799,12610.06723,0,12600.39402,18179.08851,10617.01033,0,0,23962.45133,10624.9011,14495.73988,7138.564475,0,28748.99228,28041.3683,16254.78096,11402.59681,0,29237.96581,0,18326.68996,15736.91893,14375.67623,0,16544.13384,16512.32163,19644.85649,9633.522484,0
LPS203_2,0,0,0,0,26966.03433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21709.83106,0,0,0,0,0,0,0,0,21039.26567,0,9493.008581,0,0,0,0,0,0,0,0,14523.75909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14812.55841,0,0,0,11333.82399,0,0,0,0,0,0,0,0,0,890.695542,0,32032.89917,0,0,0,0,0,0,0,0,0,0,0,0,0,39110.13578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8402.108855,0
ST204_0,145725.7564,168158.4906,265200.8405,259055.4465,198879.8313,163478.5047,217136.4642,278734.0495,288524.3683,112467.2286,139016.997,173882.5351,98940.97565,135989.9617,128527.5077,133289.2487,5339.433066,98182.43433,158355.7139,5014.623035,266733.7519,224652.9748,105559.3662,97705.51852,118885.7806,173869.2538,66145.23848,230485.667,112349.9656,92682.57065,43953.71865,57618.1057,167382.6337,119274.877,198460.825,190973.6253,124518.3624,160478.7188,111814.2139,155078.3975,197458.4175,212391.6029,150353.1286,62825.14433,148146.7519,194544.5663,211903.2504,116514.1967,151350.0648,87881.38897,98800.45507,139428.0883,88068.50329,150145.1657,147154.7645,200013.7216,269301.5928,98300.6424,96497.14857,149845.6113,92184.07745,84565.41678,101431.5098,203691.0117,128340.0665,137965.6768,128948.8369,124036.7191,150009.476,118940.955,202449.7903,241005.7198,227845.9573,291555.4246,36001.75991,216197.1817,130143.6667,69679.22607,163821.6453,249921.6738,98684.86453,224962.189,159437.4367,14246.27477,121856.3173,149923.5096,180195.4597,102607.3294,94184.38375,190576.1346,124410.8339,104850.7799,136730.9455,175803.5832,211506.687,96596.14623,108222.2388,139883.0852,132603.0644,192281.8813,131277.8975,114112.7534,87658.99869,214852.9415,86519.94697,121260.3121,161188.0678,158914.2171,115436.8477,92080.88336,106982.4973,134484.6943,7398.816339,46027.86673,198576.872,67459.53218,194014.6874,144222.6776,35592.57891,117340.8084,200565.8802,106974.2981,164007.1997,158333.1482,126138.3027,146593.4336,139248.2409,159995.7074,241094.9272,245504.7673,152632.2352,125702.3763,80966.0805,120636.8818,107733.9261,107209.3646,101605.4256,45279.51289,150082.7434,88646.83114,114975.4475,69651.45665,52515.0215,162951.5257,88149.43826,149421.9773,247572.6734,239553.0033,157299.7849,99629.26025,124842.8794,90030.70272,208166.2112,174443.1779,180653.6241,111791.6859,110127.0674,265440.7981,154055.9587,129946.9005,146100.1474,188951.594,92942.93382,173587.9384,152495.7686,176952.8826,96303.4286,93994.83101,78714.02671,122124.058,92862.20979,92539.21749,93343.81671,81797.18402,107026.2088,77962.33763,85107.75012,115358.6603,57340.66438,220014.2151,109012.2074,105223.2007,86768.75834,78557.32207,56539.42617,111283.7283,219532.9874,130282.7839,203446.3867,84579.34723,140958.0708,87853.4385,75127.1068,120809.2225,173455.1391,103263.4757,155646.425,165684.4348,117750.9984,123127.1344,98895.10523,83972.68518
ST204_1,35856.76042,73643.40013,68108.75459,66299.19602,70673.32134,26339.95342,51569.51522,55114.90234,106714.8416,31743.6568,0,0,38456.18019,0,41710.84994,0,0,31644.07355,39557.14339,0,85727.10898,55195.28552,42027.13056,15731.25467,35349.67097,44676.00901,21517.15261,39165.69887,20677.52253,18487.50288,12127.27757,10326.0372,44003.80332,42586.30293,71893.56869,38136.76268,16949.8294,0,52809.41435,0,33654.28619,64901.52408,39637.67434,16415.66952,0,58869.27692,29158.25246,65082.49228,41593.63078,16951.49882,27719.26477,44506.63061,23705.80426,74469.21395,20341.10897,29582.95617,22819.035,29317.86913,22066.32095,37200.2926,28487.77614,19971.51686,17802.12865,48515.13628,55703.42022,30112.40584,30356.30795,28261.48218,47857.03052,33925.16254,28350.1989,42192.19496,50238.64293,57866.61463,5990.787161,50870.8,29946.50149,0,29410.84205,0,24950.22424,54724.63487,49872.08515,4444.421555,13198.13067,41196.61037,25051.00086,32061.92515,21214.04584,54166.12212,47328.02832,51445.01384,0,40582.95362,56948.24705,0,35395.42711,35883.69411,54070.67087,58529.26814,27068.53988,17512.29649,14637.33365,37086.77165,20268.5318,20991.50418,15837.4128,32532.00357,25014.87406,16312.42352,17520.23043,0,1251.519725,11038.84314,41532.91144,16850.13642,0,31097.60069,18257.29371,22862.04026,0,52749.84281,49656.30699,47419.13591,0,33709.37144,22809.04855,30120.57756,40799.88462,0,36053.37033,21034.79878,14005.45697,31244.23283,23386.27048,22344.48345,0,13015.87232,37765.78083,25777.01876,25820.97512,0,18879.72918,61395.67613,23507.95109,55407.35427,0,57631.93395,31019.83378,13957.7707,28845.77358,0,71262.90423,59164.0338,59670.91178,0,26332.56863,42139.02707,46509.98858,47794.94101,39459.63417,38257.94367,20309.68965,26534.40013,21773.92153,51724.62207,31588.49617,20447.48951,10681.00762,22037.82509,19192.61379,35405.62611,29287.66465,15353.21953,40344.39651,24715.32765,25340.35795,23491.46588,20536.93327,0,43087.46016,40090.82389,19435.37316,28535.85392,17755.27635,33778.92784,33159.60578,36344.05407,26919.85456,24348.20568,30820.98624,28953.47801,16625.55899,34728.83643,30293.17302,19694.04208,0,27653.6274,21881.66118,50932.91278,14291.83932,31696.95726
ST204_2,0,0,0,54566.54054,0,0,0,0,0,0,0,0,0,0,0,0,0,15222.77329,0,1028.115049,0,0,0,8551.758749,0,0,0,0,0,0,0,0,0,11216.10266,0,0,0,0,0,0,0,0,0,0,0,0,29623.07743,23445.03358,0,8852.654252,0,0,14204.54492,0,0,0,0,0,0,22847.2313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15988.87869,0,0,0,19039.6621,0,0,0,0,8581.700719,12968.16184,21109.53854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25882.00158,0,22341.99258,0,0,0,7020.348271,0,0,0,0,0,0,0,0,14867.98162,0,0,0,0,0,0,0,0,13275.0466,0,0,0,0,0,0,0,0,10680.5394,0,0,24159.75296,0,23490.35435,0,0,0,10741.32023,0,0,19809.46276,0,14797.52681,0,0,0,0,0,0,14697.06177,0,0,0,0,0,0,0,0,8125.947388,0,0,0,0,0,0,0,0,0,0,7691.104437,0,0,0,14053.19174,0,0,0,10401.50022,0,0,0,0,0,0,0,0,0,0,0,0
CerP285_0,21539.85033,28886.05205,42519.40204,116419.1847,29159.4423,14865.47913,23715.79171,0,34654.52279,43116.16721,0,0,0,57912.4699,26885.27194,0,1621.522398,27671.38164,0,1369.680131,25142.70713,28102.87038,19325.6682,19560.81869,18767.85765,0,19347.9785,23575.95084,20800.23297,0,11094.53038,15619.31932,19329.74928,9142.172879,0,32757.17841,22192.6731,49199.84178,0,30000.89582,0,0,27531.30678,16427.40495,0,0,0,0,31449.32706,9276.762137,16168.50279,16868.55152,10540.09911,0,25926.6486,25053.19592,0,0,12772.32346,29718.56998,21112.05233,20990.6946,12228.23119,0,22318.11316,12917.87219,0,17755.99305,20015.65047,9386.203366,20897.04099,28100.40421,23750.36603,0,3483.296358,44630.20946,23758.44783,22939.36104,13884.16418,46811.46017,17734.02458,17635.36753,0,6113.254535,0,0,0,12039.32949,0,34861.38159,0,34092.65185,52539.57057,18389.28581,27037.90604,40219.834,16918.46113,24309.3165,14137.93233,25351.50787,27019.5861,0,0,0,16410.70152,24396.36419,25571.43749,0,17453.76274,22234.75097,27103.40558,46616.65133,1930.310346,0,0,21708.90651,36260.54992,29760.94227,0,0,0,16220.15659,13316.59061,22648.23412,42199.69357,30666.40838,33246.00468,24306.37866,0,28270.49748,0,13851.78614,12691.79793,21947.57359,0,20432.18394,30917.59807,7260.622335,45040.31179,14245.20999,19538.30578,16633.18771,0,27836.54118,21307.80187,40988.62958,0,0,0,13408.24728,19573.47936,0,19156.75208,17331.62114,33540.03135,19027.56269,0,0,30132.96712,0,25912.46182,32237.26034,14727.16928,28194.22904,31303.60671,27400.99114,14465.97888,16825.7181,10743.05836,0,16251.70585,18338.52514,17627.57582,17152.53131,0,28607.66591,29769.56026,11564.19773,8724.839305,0,29334.40434,7962.79692,24506.9772,12335.82553,14334.37574,16801.19661,22656.63677,17887.23389,20274.64023,15050.33033,28404.77278,17239.45695,16599.66316,25023.33943,21988.84665,12799.91349,0,0,26311.81943,0,11636.25666,0
CerP285_1,0,0,36359.57159,0,0,14704.80914,0,0,29871.72893,24755.61587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9047.872804,0,0,0,0,0,0,0,19443.73929,0,0,0,0,0,0,29548.3839,0,0,0,10153.0642,0,0,0,0,0,0,0,0,14071.38791,0,0,8432.972457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4089.266705,0,0,0,0,0,24477.96142,0,0,0,0,0,0,0,0,14353.1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39126.86598,0,0,0,0,0,0,4225.353917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24980.36084,0,0,0,0,18433.07506,0,0,0,0,0,10193.27672,0,0,10930.92567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11785.99323,0,0,0,0,0,0,0,0,11152.99719,0,6525.913773,0
